x,y,token
-20.74047,-47.877083,внезапно
-2.8300662,14.832738,второй
-21.960186,-25.971216,вверх
28.888908,-4.4165516,пожалуй
7.9041877,26.069311,велеть
6.126263,5.0883913,отсюда
17.55711,-3.7038608,бросить
-51.46792,16.671965,ущелие
7.890681,56.231228,властелин
-20.213942,42.543873,прислать
31.28028,13.940874,рассказывать
11.959034,25.554121,принести
35.575867,18.376574,общий
28.406366,-4.5432982,согласиться
-36.830353,-20.701595,красный
39.62645,-29.464495,прелесть
-8.297015,48.288578,ребёнок
-25.932568,-12.260587,оттуда
-55.96294,-25.26569,рассвет
-1.3626953,-28.413807,тихо
-35.90334,-24.53582,серебряный
24.38691,-4.6215715,никак
17.163233,-49.368576,карман
-4.343162,-5.343234,находиться
34.762444,-4.340816,вы
9.353823,-54.710873,положить
-40.68336,29.094797,врата
-10.561617,29.995995,труд
17.214657,36.785713,получить
-32.66517,-54.35016,р
10.596847,15.99397,опасный
-3.1743577,51.480892,покинуть
26.544044,-3.1601844,спокойно
23.82192,29.515667,верить
3.6950338,22.32607,возвращаться
19.472399,37.682964,право
-58.575745,-0.2561756,крутой
-54.219772,-22.11314,светлый
33.540577,2.6941304,скорее
-34.341507,-4.2938094,птица
-24.56873,11.51535,гоблин
12.626259,41.056572,отдать
13.220141,0.78211796,собираться
-51.160507,-30.886549,ночной
13.620132,-24.230398,повернуться
-10.055162,11.877513,изенгарда
49.54812,11.772684,книга
43.110535,3.7128227,странный
-7.6129127,44.072983,назвать
-61.069256,-7.674288,подножие
17.788567,23.48873,ожидать
36.40414,-34.316097,отдохнуть
-14.741858,46.77251,век
9.99384,30.315617,эовин
33.275856,34.273617,пытаться
8.09401,52.245552,против
-12.921493,-18.217806,костёр
10.796902,14.260676,поехать
28.77693,22.076616,известно
-0.95101446,5.472955,четыре
18.465906,45.303364,суметь
39.832836,2.922848,разговор
9.14291,-37.263786,сесть
-51.64493,-2.8582416,узкий
0.25319263,2.3827503,сотня
-4.328204,-19.098377,петь
4.3340096,-16.152636,двое
-56.369503,6.84478,лига
8.142435,-32.452087,похожий
-27.438326,27.745506,ристание
3.9686892,-27.4155,молча
-16.275713,49.344673,лориэн
-16.491371,-30.994879,коридор
2.9428124,32.553814,привести
-31.45653,-48.472134,послышаться
-30.190958,-51.041946,крик
18.011051,-6.0516596,продолжать
-32.16358,55.05998,турин
13.122466,36.440395,обратиться
-38.684685,-18.181522,лист
-41.226494,-37.327526,дым
0.5150946,-47.700706,рот
57.7493,14.360554,старший
-15.467559,7.606199,миновать
-28.865818,54.9934,брат
1.6500472,41.418877,радость
-51.56906,12.40832,озеро
-49.97301,6.846604,лодка
-15.735628,50.05478,владычица
39.633083,41.922066,подобный
18.703442,-43.634926,приняться
-29.522532,-46.14395,звук
-50.967335,-22.383408,яркий
14.811748,-11.319841,чувствовать
-54.599754,3.9077935,миля
